customer_id,age,gender,location,income_level,signup_date,loyalty_program,preferred_channel
C00053,31,F,Lake Deniseville,high,2021-12-26,0,Offline
C00054,18,F,Chandlerville,low,2020-04-04,1,Offline
C00055,45,Other,East Amanda,high,2021-01-21,1,Online
C00056,30,F,Whitemouth,low,2020-08-05,0,Both
C00057,65,Other,South Lindseyside,low,2021-01-23,1,Online
C00058,21,Other,Lake Yvettetown,medium,2020-06-01,0,Online
C00059,50,M,East Richard,high,2020-05-24,0,Both
C00060,22,Other,Port Richard,high,2022-01-17,1,Online
C00061,54,M,South Aaron,medium,2020-04-01,0,Both
C00062,23,F,Saramouth,medium,2021-08-29,1,Offline
C00063,31,Other,Hortonside,medium,2021-03-19,0,Offline
C00064,43,M,Mooreport,medium,2022-10-25,1,Offline
C00065,38,M,New Jillton,low,2020-12-04,0,Online
C00066,52,M,Brianshire,medium,2023-03-07,0,Offline
C00067,22,M,North Susan,low,2022-01-10,0,Offline
C00068,52,Other,North Brooke,low,2020-05-04,0,Both
C00069,70,Other,South David,low,2022-11-14,0,Online
C00070,34,M,New Brooke,high,2023-10-15,0,Offline
C00071,36,Other,South Dianeshire,low,2022-08-20,1,Online
C00072,61,Other,Sarahborough,high,2022-03-23,1,Offline
C00073,21,M,Johnfurt,medium,2022-11-06,1,Online
C00074,18,F,Stephenland,medium,2020-07-22,1,Online
C00075,65,F,Howellshire,medium,2020-01-15,1,Both
C00076,18,M,New Jasonview,low,2020-06-04,0,Both
C00077,20,F,Nicolebury,medium,2020-07-24,0,Offline
C00078,26,M,Ericside,low,2021-07-28,0,Offline
C00079,31,Other,Cherylhaven,low,2022-12-28,0,Offline
C00080,67,Other,Sarahville,high,2020-01-13,1,Both
C00081,65,M,West Darrell,high,2023-12-29,0,Online
C00082,69,M,West Juan,high,2020-06-15,0,Online
C00083,65,F,Jamesview,medium,2020-11-23,1,Both
C00084,65,M,Kington,low,2022-02-24,0,Offline
C00085,20,F,Calderonton,low,2020-05-23,1,Offline
C00086,37,M,Kellieview,low,2020-01-06,0,Offline
C00087,39,F,Arnoldchester,high,2020-09-08,1,Offline
C00088,59,Other,North Charlesberg,low,2022-05-21,1,Online
C00089,25,F,Port Mikeside,low,2022-04-27,1,Online
C00090,24,Other,Andersonport,medium,2020-08-18,1,Offline
C00091,56,Other,West Jasonbury,low,2021-07-20,0,Offline
C00092,20,Other,West Kimberlychester,medium,2022-11-02,0,Offline
C00093,45,M,East Michelle,high,2022-08-22,1,Both
C00094,38,Other,South Angel,high,2023-05-27,1,Both
C00095,37,Other,Kimberlychester,medium,2023-02-18,1,Both
C00096,36,Other,West Erik,low,2023-05-31,1,Both
C00097,42,Other,South Monicafort,medium,2022-12-25,0,Both
C00098,54,F,Port Samantha,medium,2020-12-11,0,Offline
C00099,36,M,Loribury,medium,2021-06-27,1,Offline
C00100,46,F,Lake Jamesmouth,medium,2020-12-12,1,Both
C00101,28,Other,Port Joshuahaven,low,2021-03-08,1,Online
C00102,70,M,Sheilaville,medium,2021-09-12,0,Online
C00103,27,M,Gregoryview,low,2023-09-24,1,Both
C00104,67,M,New Ryanmouth,medium,2020-02-29,0,Both
C00105,62,F,South Rachelborough,medium,2021-11-08,0,Online
C00106,59,Other,Lake Ryanhaven,low,2021-01-30,0,Offline
C00107,32,M,West Ryan,high,2023-12-08,1,Online
C00108,53,M,Cindyville,high,2022-10-28,0,Offline
C00109,26,F,Williamchester,medium,2023-01-23,1,Offline
C00110,57,Other,Terryside,high,2021-05-21,1,Both
C00111,46,M,South Elizabeth,medium,2020-07-16,1,Offline
C00112,34,M,New Ashley,high,2021-08-11,1,Both
C00113,49,Other,West Justinchester,low,2021-09-22,1,Online
C00114,63,F,Stevenmouth,low,2023-05-05,1,Offline
C00115,52,M,New Thomas,low,2022-11-15,0,Offline
C00116,62,M,Lake Christopher,medium,2023-10-31,0,Offline
C00117,44,F,Clarencebury,medium,2022-03-11,1,Online
C00118,31,F,Jeffreyborough,low,2022-11-11,0,Both
C00119,42,F,North Johnfort,low,2020-08-16,1,Offline
C00120,66,F,South Robertshire,high,2022-08-07,1,Both
C00121,65,Other,Snyderbury,medium,2020-10-29,0,Offline
C00122,32,F,Port Michelleville,medium,2020-08-17,0,Offline
C00123,39,Other,Robinsonhaven,medium,2023-04-24,1,Both
C00124,28,F,New Johnville,high,2021-12-22,0,Offline
C00125,55,Other,Port Steven,medium,2021-12-10,0,Both
C00126,45,M,Stephaniemouth,high,2022-04-05,0,Online
C00127,34,F,Rivasside,low,2022-08-09,1,Offline
C00128,39,F,Lake Michelle,low,2021-11-23,1,Offline
C00129,23,F,Karenview,low,2021-11-30,0,Offline
C00130,32,Other,Simsview,low,2023-04-04,0,Online
C00131,33,M,Lake Justinview,high,2021-11-14,0,Online
C00132,26,F,Patricialand,medium,2021-06-05,0,Offline
C00133,62,F,East Patrick,medium,2020-08-02,0,Both
C00134,56,Other,North Robert,medium,2020-08-25,0,Offline
C00135,24,Other,Perryborough,low,2021-05-29,1,Both
C00136,61,F,Priceshire,low,2023-07-17,0,Online
C00137,55,Other,Port Nicoleshire,high,2022-12-16,0,Online
C00138,62,F,Smithstad,high,2021-08-13,0,Both
C00139,68,M,Castanedachester,low,2021-04-08,1,Both
C00140,41,M,South Jeffrey,medium,2022-04-16,1,Online
C00141,44,F,Johnsonmouth,low,2021-11-08,1,Both
C00142,47,Other,Ramseymouth,low,2022-11-05,0,Both
C00143,51,Other,New Amanda,low,2023-11-29,1,Offline
C00144,45,Other,Vargastown,medium,2023-11-09,1,Online
C00145,23,F,Taylormouth,high,2020-05-10,0,Offline
C00146,54,Other,West Nicholasborough,medium,2020-10-09,1,Online
C00147,49,F,Matthewfurt,low,2021-12-07,0,Offline
C00148,69,F,Kingland,low,2021-03-08,1,Both
C00149,18,Other,Lake Amberstad,high,2021-12-31,0,Online
C00150,64,F,Port Susanton,medium,2020-12-14,0,Both
C00151,48,Other,East Jamestown,medium,2023-03-17,1,Online
C00152,23,F,East David,low,2022-08-23,0,Offline
C00153,60,Other,New Staciemouth,low,2022-11-05,1,Offline
C00154,65,Other,Katieburgh,low,2022-12-22,1,Offline
C00155,37,F,Port Loriport,low,2022-07-30,0,Offline
C00156,25,Other,West Barbarafurt,medium,2020-06-16,0,Online
C00157,31,Other,North Brittany,medium,2021-09-08,1,Online
C00158,30,F,North Heidi,low,2023-07-14,0,Offline
C00159,18,Other,Port Tonyaton,medium,2021-04-13,1,Online
C00160,21,Other,Stanleyland,low,2021-06-23,0,Both
C00161,66,F,Alexanderchester,low,2022-02-24,0,Both
C00162,36,F,Garciastad,medium,2023-07-01,1,Online
C00163,21,F,Zimmermanchester,high,2022-09-14,1,Online
C00164,70,M,Christinaside,medium,2020-09-30,0,Both
C00165,58,Other,Marshallshire,low,2023-04-18,0,Both
C00166,37,M,Melissaland,high,2021-02-20,0,Both
C00167,66,F,Sanchezmouth,medium,2021-03-09,0,Both
C00168,42,F,Rogersfort,high,2022-06-04,1,Both
C00169,45,F,Hunterborough,medium,2023-08-14,0,Both
C00170,65,M,Matthewview,high,2021-07-05,0,Both
C00171,31,F,New Stacyland,medium,2022-05-13,0,Online
C00172,29,Other,Freemanbury,low,2021-01-09,0,Offline
C00173,46,Other,Brewerfort,medium,2022-12-08,1,Online
C00174,32,F,North Kellyfurt,medium,2021-11-27,1,Online
C00175,61,M,West Elizabeth,high,2022-12-10,0,Offline
C00176,25,Other,Transtad,low,2021-07-27,0,Offline
C00177,70,M,Michaelmouth,low,2021-10-22,0,Offline
C00178,56,Other,Johnville,high,2021-02-24,1,Offline
C00179,25,F,West David,medium,2023-01-25,1,Offline
C00180,50,Other,East Javier,medium,2022-04-12,0,Both
C00181,20,F,Jennyhaven,medium,2022-01-22,1,Online
C00182,23,M,Tinaborough,high,2022-07-16,0,Both
C00183,70,F,West Harry,medium,2021-04-05,0,Offline
C00184,51,Other,West Brandon,medium,2020-01-22,1,Online
C00185,55,F,Heidiberg,medium,2020-03-25,1,Online
C00186,48,F,Garciatown,medium,2022-09-17,1,Both
C00187,24,M,Taylormouth,low,2022-06-10,1,Offline
C00188,60,F,North Johnny,high,2021-06-13,0,Offline
C00189,23,F,Wilsonland,low,2023-08-31,0,Offline
C00190,50,M,Joneston,medium,2021-09-14,1,Offline
C00191,21,M,Port Anna,medium,2020-08-23,1,Both
C00192,46,M,East Davidchester,low,2021-04-16,0,Offline
C00193,46,Other,Port Alexandra,medium,2022-07-30,0,Both
C00194,56,M,Evansshire,medium,2021-11-30,1,Both
C00195,18,Other,Ashleyton,medium,2021-10-28,0,Online
C00196,47,M,Port Jaredborough,medium,2022-08-05,0,Offline
C00197,63,F,East Johnside,medium,2021-02-15,1,Offline
C00198,48,F,North Ricky,low,2020-04-26,0,Offline
C00199,30,Other,Carterbury,medium,2022-12-06,0,Online
C00200,35,F,Jacquelinemouth,low,2021-03-23,1,Online
C00201,36,Other,West Kristin,low,2020-04-20,1,Online
C00202,46,Other,South Danny,medium,2022-08-28,1,Both
C00203,66,Other,West Margaret,low,2020-12-15,1,Online
C00204,62,M,East Laurashire,medium,2020-04-20,0,Offline
C00205,20,F,Scottmouth,medium,2023-12-02,1,Offline
C00206,60,Other,Hollyview,high,2022-12-05,1,Online
C00207,26,Other,Kimton,high,2022-02-16,1,Online
C00208,46,M,Navarroview,medium,2023-10-13,1,Online
C00209,64,M,East Suzanneshire,medium,2020-02-10,0,Online
C00210,48,F,Port Emilyview,low,2022-07-01,1,Both
C00211,23,F,Port Katelynfort,high,2022-06-14,1,Offline
C00212,58,Other,Moonburgh,high,2022-03-17,1,Both
C00213,20,Other,Waltersfort,low,2022-06-28,1,Online
C00214,65,M,Baileymouth,medium,2020-05-21,0,Both
C00215,63,M,Port Eugenechester,medium,2021-05-13,1,Online
C00216,20,F,Robertsfurt,medium,2022-12-13,1,Offline
C00217,41,F,South Christopherview,low,2023-06-17,1,Both
C00218,61,M,Port Richardhaven,low,2021-05-17,0,Both
C00219,42,Other,Lake Mollymouth,medium,2023-07-05,1,Both
C00220,27,M,East Aprilfort,medium,2021-10-03,1,Offline
C00221,34,Other,Wolfborough,low,2022-08-29,1,Offline
C00222,61,Other,West Samuel,low,2021-02-18,1,Offline
C00223,55,F,Martinezbury,medium,2022-12-20,1,Both
C00224,34,F,West Andrea,high,2023-01-07,0,Offline
C00225,48,M,Davisville,low,2022-05-07,1,Both
C00226,36,Other,Lake Marilynfort,low,2021-12-17,1,Offline
C00227,18,Other,Williamview,high,2023-12-19,0,Both
C00228,65,F,Bairdbury,high,2021-10-07,1,Online
C00229,56,F,South James,low,2021-12-10,0,Both
C00230,34,Other,Port Chad,medium,2022-07-20,0,Both
C00231,24,Other,Morganhaven,medium,2023-04-15,1,Offline
C00232,20,Other,West Jessicashire,low,2021-02-19,0,Online
C00233,36,F,Grimesmouth,medium,2022-06-19,0,Online
C00234,26,Other,Reedside,high,2022-04-16,1,Both
C00235,50,F,Gibsonmouth,high,2023-03-31,1,Offline
C00236,69,F,Lake John,medium,2023-09-12,1,Online
C00237,47,M,Port Kimberly,low,2021-08-17,0,Both
C00238,64,Other,Juliefurt,high,2020-03-08,1,Online
C00239,68,F,South Tammie,low,2021-08-22,0,Offline
C00240,41,Other,Mollymouth,medium,2020-07-15,1,Both
C00241,42,Other,Smithberg,high,2020-06-03,0,Both
C00242,32,F,North Terrance,low,2021-09-28,1,Both
C00243,32,Other,Cindyfurt,low,2021-02-15,1,Both
C00244,37,Other,Port Markside,medium,2022-10-06,0,Online
C00245,20,F,Courtneyfort,high,2021-08-13,0,Online
C00246,33,Other,New Caseyport,low,2023-09-17,1,Offline
C00247,60,Other,South Tiffanyville,medium,2020-12-19,1,Both
C00248,65,Other,Lake Kevin,low,2021-11-20,1,Both
C00249,24,F,West Lauraport,medium,2020-02-14,1,Online
C00250,62,F,Ryanbury,low,2021-07-10,1,Online
C00251,41,M,Knightburgh,high,2022-04-05,1,Both
C00252,59,F,North Chelsea,low,2020-09-21,1,Online
C00253,25,F,South Roberta,low,2021-08-17,0,Both
C00254,58,Other,South Dana,high,2020-08-10,0,Offline
C00255,33,M,Elizabethmouth,medium,2021-12-14,0,Online
C00256,66,Other,Ericaburgh,low,2023-10-31,0,Online
C00257,39,M,Landryshire,medium,2020-04-24,0,Offline
C00258,27,M,Vaughnmouth,medium,2021-04-09,0,Online
C00259,60,M,Jamesfurt,low,2023-08-06,1,Online
C00260,55,F,Rodriguezfurt,low,2023-08-18,1,Online
C00261,26,Other,Baileyport,medium,2022-06-07,0,Both
C00262,22,F,Hillshire,medium,2020-02-04,1,Both
C00263,55,M,New Julieport,medium,2023-09-05,0,Both
C00264,20,Other,New Laurie,medium,2023-04-20,1,Offline
C00265,59,M,New John,low,2020-12-06,1,Offline
C00266,45,Other,Lake Colton,low,2023-03-19,1,Online
C00267,23,F,West Kristinaton,medium,2022-09-01,0,Online
C00268,35,Other,Jessicaland,medium,2022-06-19,1,Offline
C00269,56,Other,Markchester,low,2023-11-14,1,Online
C00270,68,Other,East Kristin,low,2020-09-29,0,Offline
C00271,46,M,Alyssaview,medium,2023-09-23,1,Offline
C00272,44,Other,West Robin,low,2023-07-14,1,Offline
C00273,60,F,Juliemouth,low,2022-01-18,0,Both
C00274,48,M,South Sydneyberg,low,2023-06-03,0,Online
C00275,45,M,Port Erica,medium,2023-03-17,1,Online
C00276,53,M,Coffeyside,medium,2022-11-13,1,Both
C00277,25,F,Port Ralphview,low,2021-07-22,1,Both
C00278,21,F,South Miguelview,medium,2022-04-13,1,Online
C00279,54,Other,Carsonstad,low,2022-06-27,1,Online
C00280,24,F,South Angel,high,2020-06-17,1,Online
C00281,66,F,Rosebury,medium,2023-10-05,1,Both
C00282,67,Other,Lake Madisonport,medium,2022-10-03,0,Both
C00283,60,Other,Wilsonton,low,2022-10-05,0,Offline
C00284,62,F,Wendyville,high,2020-02-27,1,Online
C00285,29,M,New Derek,medium,2020-05-30,1,Online
C00286,27,Other,Ellenside,medium,2021-12-05,0,Online
C00287,65,Other,South Diana,low,2021-10-13,1,Offline
C00288,39,M,Gilbertview,low,2023-07-19,1,Both
C00289,56,M,Jeffmouth,high,2020-02-20,0,Online
C00290,66,Other,Corystad,low,2021-01-01,0,Offline
C00291,46,Other,Bruceview,medium,2022-04-25,1,Offline
C00292,35,M,Port Madisonland,medium,2020-10-21,0,Offline
C00293,45,M,Lake Danielle,low,2022-10-26,1,Both
C00294,60,F,Port Matthewberg,low,2020-02-03,1,Both
C00295,21,M,North Maria,low,2023-05-07,0,Online
C00296,66,F,New Jason,low,2022-05-10,0,Online
C00297,49,Other,West Kim,medium,2023-09-13,0,Offline
C00298,52,Other,West Micheleberg,low,2023-05-10,1,Online
C00299,43,Other,Laurenville,low,2020-07-20,0,Offline
C00300,22,F,East Alexisbury,medium,2022-10-23,1,Both
C00301,58,F,Alfredview,low,2022-07-03,1,Online
C00302,38,M,Lake Robert,high,2020-03-22,1,Both
C00303,41,M,South Shanestad,medium,2020-06-25,0,Online
C00304,45,Other,South Williamton,medium,2022-03-08,0,Offline
C00305,37,Other,Stephentown,low,2023-02-03,1,Online
C00306,22,Other,Boonechester,medium,2020-04-04,0,Offline
C00307,40,Other,South Jennifermouth,high,2022-12-01,0,Online
C00308,24,M,West Charleneland,low,2020-04-24,0,Both
C00309,27,Other,Claudiashire,low,2020-07-15,1,Offline
C00310,66,Other,Oscarhaven,medium,2022-05-01,1,Both
C00311,54,Other,Wagnerchester,medium,2021-04-03,1,Both
C00312,38,M,Port Dianaside,medium,2020-06-03,1,Offline
C00313,58,F,South Shannon,medium,2023-01-24,0,Offline
C00314,50,M,Morganmouth,low,2020-12-20,1,Online
C00315,21,F,Blairmouth,high,2021-09-11,0,Both
C00316,23,Other,Elizabethstad,medium,2021-10-24,1,Offline
C00317,55,Other,Jonesland,high,2020-08-25,0,Offline
C00318,69,Other,Davisstad,medium,2020-05-24,1,Both
C00319,48,Other,New Brian,low,2023-06-15,0,Offline
C00320,24,F,Elizabethchester,high,2022-05-22,0,Both
C00321,59,M,Parrishton,low,2021-07-03,1,Offline
C00322,51,Other,Michaelshire,medium,2021-03-22,1,Offline
C00323,36,F,East Diane,medium,2022-02-27,1,Both
C00324,56,M,West Meganstad,medium,2020-12-14,1,Online
C00325,39,M,Audreychester,medium,2020-06-27,1,Offline
C00326,34,Other,New Sarahview,high,2023-08-05,0,Offline
C00327,23,Other,West Jacqueline,medium,2020-02-14,1,Offline
C00328,59,Other,Michaelburgh,medium,2021-04-24,0,Both
C00329,63,M,New Diane,low,2023-09-13,1,Both
C00330,68,F,Lake Cynthia,high,2020-04-18,0,Both
C00331,60,F,Lake Alyssafurt,medium,2020-02-17,0,Offline
C00332,37,M,Petersonstad,high,2021-10-14,1,Offline
C00333,30,M,Kimberlyshire,high,2021-04-29,0,Online
C00334,36,M,North Ericton,medium,2022-07-15,0,Both
C00335,39,Other,West Scottchester,low,2022-11-12,1,Online
C00336,28,M,Perryborough,high,2022-01-24,0,Both
C00337,46,M,West Russellport,medium,2023-03-18,0,Offline
C00338,57,F,Roseport,medium,2022-11-19,1,Online
C00339,52,M,South Tracey,low,2020-03-11,1,Online
C00340,41,Other,East Kevinborough,high,2020-03-26,1,Offline
C00341,67,F,Port Jonathan,medium,2023-04-07,1,Online
C00342,70,M,North Tylerchester,high,2021-05-24,0,Offline
C00343,21,Other,South Amanda,medium,2020-09-29,1,Both
C00344,24,Other,Charleston,high,2020-12-23,0,Offline
C00345,23,M,South Samanthamouth,low,2021-11-08,0,Offline
C00346,23,M,Berrychester,high,2022-06-13,1,Online
C00347,44,M,South Andrewmouth,low,2021-03-25,1,Online
C00348,42,M,Collierstad,low,2020-09-23,0,Offline
C00349,24,Other,Richardbury,medium,2020-05-16,0,Online
C00350,20,F,Warrenfurt,high,2021-11-07,1,Both
C00351,26,Other,Juliebury,medium,2023-09-14,0,Online
C00352,19,F,North William,low,2021-06-01,0,Both
C00353,64,Other,Port Michael,medium,2020-06-26,0,Offline
C00354,33,F,East Curtis,low,2023-02-03,0,Offline
C00355,58,Other,East Carrie,medium,2021-02-01,0,Offline
C00356,56,Other,East Stephaniefort,low,2023-03-26,0,Both
C00357,27,F,Maldonadoshire,medium,2021-12-21,1,Online
C00358,54,F,Michellemouth,low,2022-09-25,0,Both
C00359,41,M,Jonesmouth,high,2020-08-22,0,Offline
C00360,48,M,Laurashire,medium,2022-09-07,1,Offline
C00361,65,M,Williamport,low,2020-03-28,0,Offline
C00362,33,Other,Johnsonstad,medium,2021-12-18,0,Both
C00363,65,F,Chaseland,low,2023-07-15,1,Both
C00364,39,Other,Fordside,low,2022-08-13,1,Both
C00365,48,Other,South Reginashire,low,2023-05-15,0,Online
C00366,63,F,West Cassidy,low,2022-10-09,0,Online
C00367,68,M,North Shannon,high,2022-02-17,1,Offline
C00368,50,F,Toniland,high,2023-06-13,1,Offline
C00369,20,Other,North John,low,2022-02-22,1,Online
C00370,59,F,Warrenburgh,low,2021-11-11,1,Offline
C00371,43,Other,Samanthafurt,medium,2021-07-19,1,Offline
C00372,29,F,Erikaton,medium,2021-09-27,1,Both
C00373,35,M,Cameronville,medium,2023-05-11,0,Offline
C00374,56,M,Mitchellberg,medium,2022-05-16,1,Online
C00375,23,F,New Elizabethstad,medium,2021-06-01,1,Offline
C00376,56,Other,Andersonland,medium,2021-04-26,1,Offline
C00377,46,M,Schneidermouth,medium,2021-04-25,1,Both
C00378,45,F,Lake Jacqueline,medium,2023-06-17,0,Online
C00379,60,Other,Lake Ellenhaven,medium,2023-02-21,0,Online
C00380,27,Other,West Kyleborough,medium,2021-07-16,1,Online
C00381,26,M,Leeberg,low,2021-06-14,1,Offline
C00382,42,Other,West Meganville,low,2020-08-28,0,Both
C00383,46,F,Lake Matthewberg,low,2022-02-27,0,Both
C00384,26,Other,Mooreburgh,low,2022-07-16,1,Both
C00385,35,M,Lake Samuel,high,2023-07-15,0,Both
C00386,29,F,Ericabury,medium,2021-09-30,0,Offline
C00387,67,F,Karenmouth,medium,2021-11-21,0,Both
C00388,36,Other,West Tammy,high,2020-12-29,1,Online
C00389,25,M,Mckeeborough,high,2023-05-03,1,Online
C00390,63,F,Murrayport,high,2021-07-25,1,Both
C00391,40,Other,Shawchester,low,2023-04-23,1,Offline
C00392,28,Other,Port Cassandra,medium,2020-09-08,0,Offline
C00393,50,M,Brettfort,low,2023-09-18,0,Online
C00394,33,F,Angelaville,low,2023-09-19,1,Offline
C00395,69,Other,West Christopherburgh,low,2023-01-10,0,Online
C00396,37,F,Whiteheadberg,high,2021-02-27,1,Both
C00397,44,F,Davisbury,high,2023-07-14,0,Online
C00398,38,Other,Wilkersontown,low,2023-06-22,1,Both
C00399,51,F,South Waynebury,low,2021-10-06,0,Online
C00400,45,Other,West Jeffreymouth,high,2021-08-22,0,Online
C00401,51,M,Port Jennifermouth,low,2023-12-16,0,Offline
C00402,63,M,East Benjamin,low,2023-05-14,1,Online
C00403,34,M,Hortonberg,medium,2023-11-26,1,Online
C00404,58,F,Westtown,medium,2023-03-24,0,Both
C00405,59,M,North Jonathanberg,medium,2023-11-08,0,Online
C00406,60,Other,Rodriguezport,medium,2022-05-02,1,Both
C00407,20,M,Davidbury,low,2021-01-04,1,Both
C00408,31,Other,Brownfort,medium,2021-10-14,0,Offline
C00409,58,Other,Lake Zacharybury,low,2022-07-16,1,Offline
C00410,33,Other,West Ruben,medium,2023-01-21,1,Online
C00411,62,M,Johnchester,low,2022-08-13,1,Offline
C00412,47,M,New Theresaland,low,2020-10-17,0,Offline
C00413,63,F,South Morganton,medium,2022-03-28,1,Offline
C00414,26,F,Zavalaview,medium,2022-09-14,0,Offline
C00415,33,F,West Kristinastad,low,2023-03-06,1,Online
C00416,27,M,Port Bonniemouth,low,2021-01-09,1,Both
C00417,44,M,West Amyburgh,high,2020-07-26,0,Offline
C00418,54,Other,Pollardfort,low,2023-07-13,0,Offline
C00419,50,F,Port Dennis,medium,2022-09-08,1,Offline
C00420,19,M,Johnsonborough,high,2023-01-17,1,Online
C00421,31,Other,North Leslie,low,2020-03-09,0,Offline
C00422,49,Other,Haysside,high,2021-04-26,1,Offline
C00423,52,M,Benjaminborough,high,2022-01-05,1,Online
C00424,34,Other,Michelleton,low,2021-03-20,1,Offline
C00425,20,F,Joshuastad,low,2023-09-06,0,Offline
C00426,53,F,Paulfurt,low,2021-11-09,1,Both
C00427,35,Other,South Heather,medium,2021-06-10,0,Online
C00428,24,F,Lauriechester,low,2021-07-24,1,Both
C00429,41,M,Morrisonburgh,low,2020-05-02,1,Both
C00430,20,M,Manuelland,low,2022-04-27,1,Offline
C00431,51,F,Kirkchester,low,2021-05-24,0,Offline
C00432,57,F,Bellton,low,2020-09-15,1,Both
C00433,39,Other,Christinachester,high,2023-02-03,1,Both
C00434,54,F,North Emilyfurt,medium,2021-03-02,0,Offline
C00435,39,Other,North Douglas,low,2021-07-18,1,Both
C00436,37,Other,Johnsonland,high,2022-08-01,0,Both
C00437,48,F,Michaelshire,high,2021-01-01,0,Both
C00438,21,Other,Lake Shannon,medium,2020-02-20,1,Online
C00439,70,Other,Scottland,low,2021-07-30,0,Online
C00440,19,F,New Michael,low,2022-06-10,0,Offline
C00441,62,M,Johnville,medium,2021-05-03,1,Both
C00442,64,M,South April,medium,2020-02-10,0,Both
C00443,38,Other,West Kimberlymouth,medium,2023-11-20,1,Offline
C00444,29,F,Heatherfort,high,2020-11-29,1,Both
C00445,40,Other,East Melissamouth,medium,2020-11-06,1,Both
C00446,48,M,Osbornmouth,high,2020-09-25,1,Both
C00447,37,M,Jennaside,high,2022-11-03,1,Offline
C00448,63,M,Patriciaburgh,medium,2022-04-22,1,Offline
C00449,48,F,Port Michael,medium,2023-01-10,1,Offline
C00450,25,Other,East Laurabury,medium,2020-12-14,1,Offline
C00451,70,F,Johnsonside,high,2023-05-12,0,Offline
C00452,20,F,Tannerside,high,2022-06-08,0,Offline
C00453,46,Other,North Kylefort,low,2020-07-20,1,Online
C00454,30,Other,Hammondshire,low,2022-03-27,1,Online
C00455,24,Other,West Dawn,medium,2020-04-24,0,Online
C00456,21,Other,Frazierstad,high,2021-11-30,0,Both
C00457,32,M,Port Tammy,low,2020-07-18,1,Both
C00458,48,M,Port Davidberg,medium,2021-11-03,0,Online
C00459,53,M,East Marcus,medium,2021-04-17,1,Offline
C00460,59,M,West Stacey,medium,2023-01-06,1,Offline
C00461,36,Other,Meghanview,low,2022-03-17,0,Both
C00462,54,M,Davidport,medium,2020-10-31,0,Online
C00463,44,M,New Danielleshire,high,2022-08-12,0,Offline
C00464,68,F,East Donna,low,2022-06-21,1,Online
