transaction_id,customer_id,transaction_date,product_category,brand_type,payment_method,quantity,price_per_unit,discount_applied,total_amount
T0000072,C01640,2021-02-18,Oil,private,Cash,1,200,0,180.0
T0000073,C00526,2024-04-25,Rice,private,Card,1,60,1,60.0
T0000074,C00352,2022-11-02,C-Type Cable,third_party,Cash,2,300,1,540.0
T0000075,C01937,2023-02-09,Laptop Case,third_party,UPI/Wallet,1,800,1,720.0
T0000076,C01005,2023-07-13,Oil,third_party,Card,15,200,0,3000.0
T0000077,C01358,2023-09-11,Rice,private,Card,1,60,0,60.0
T0000078,C01234,2023-09-07,Laptop Case,private,Cash,1,800,1,720.0
T0000079,C00523,2021-08-19,Toothpaste,third_party,Card,10,80,1,720.0
T0000080,C00521,2021-12-04,C-Type Cable,third_party,Cash,1,300,0,300.0
T0000081,C00552,2021-02-13,Soap,third_party,UPI/Wallet,1,40,0,40.0
T0000082,C00315,2023-11-14,Oil,third_party,Cash,1,200,0,180.0
T0000083,C00256,2024-06-01,Laptop Case,private,Cash,1,800,1,800.0
T0000084,C00744,2024-02-03,Oil,third_party,Cash,1,200,1,180.0
T0000085,C00773,2024-04-17,Soap,third_party,Cash,1,40,0,40.0
T0000086,C01794,2023-12-15,Toothpaste,third_party,Cash,3,80,1,240.0
T0000087,C01773,2022-08-29,Toothpaste,third_party,Cash,2,80,0,160.0
T0000088,C01540,2022-12-16,C-Type Cable,private,UPI/Wallet,3,300,1,900.0
T0000089,C00262,2020-04-30,Toothpaste,private,Cash,1,80,0,72.0
T0000090,C01163,2024-02-29,Toothpaste,private,Card,2,80,0,160.0
T0000091,C00857,2024-03-09,Chair,private,Card,15,1500,1,22500.0
T0000092,C00877,2022-02-09,Laptop Case,third_party,Cash,5,800,1,4000.0
T0000093,C00179,2023-07-31,Toothpaste,third_party,Cash,1,80,0,72.0
T0000094,C00492,2022-12-31,Snacks,private,UPI/Wallet,1,50,1,50.0
T0000095,C01010,2023-11-30,Rice,third_party,UPI/Wallet,1,60,0,60.0
T0000096,C01055,2024-04-14,Laptop Case,third_party,UPI/Wallet,1,800,0,800.0
T0000097,C01528,2023-04-20,Rice,third_party,UPI/Wallet,2,60,1,120.0
T0000098,C01514,2022-03-07,Laptop Case,third_party,Card,1,800,0,800.0
T0000099,C01807,2024-05-08,Laptop Case,third_party,Card,1,800,0,800.0
T0000100,C01951,2021-12-31,Rice,third_party,Card,1,60,0,60.0
T0000101,C01391,2024-06-03,Soap,third_party,Cash,5,40,1,200.0
T0000102,C00602,2022-11-28,Toothpaste,private,UPI/Wallet,2,80,1,160.0
T0000103,C00625,2023-03-05,Laptop Case,third_party,Card,1,800,1,720.0
T0000104,C00013,2020-08-07,Earphones,third_party,Cash,1,600,0,600.0
T0000105,C01480,2024-04-28,Shampoo,third_party,Card,1,120,1,108.0
T0000106,C01084,2024-08-06,Laptop Case,third_party,Card,1,800,0,720.0
T0000107,C01345,2022-12-16,Toothpaste,private,Card,1,80,1,80.0
T0000108,C00374,2024-04-12,Laptop Case,third_party,Card,1,800,1,720.0
T0000109,C00725,2023-08-03,C-Type Cable,private,UPI/Wallet,5,300,0,1350.0
T0000110,C00584,2023-01-18,Rice,private,Card,1,60,0,54.0
T0000111,C00408,2021-10-22,Chair,third_party,Cash,15,1500,1,22500.0
T0000112,C01015,2024-02-17,Shampoo,private,Card,3,120,1,324.0
T0000113,C01962,2021-12-07,Snacks,third_party,Card,1,50,0,50.0
T0000114,C00485,2024-01-01,Rice,third_party,UPI/Wallet,1,60,0,60.0
T0000115,C00593,2024-06-10,Toothpaste,third_party,Cash,3,80,0,240.0
T0000116,C00383,2024-07-24,Soap,private,Card,1,40,0,40.0
T0000117,C00879,2024-07-19,Soap,third_party,Cash,3,40,0,108.0
T0000118,C01751,2024-02-01,Earphones,third_party,Cash,1,600,0,600.0
T0000119,C00561,2022-03-30,Soap,third_party,UPI/Wallet,1,40,0,36.0
T0000120,C00105,2023-05-06,C-Type Cable,third_party,UPI/Wallet,1,300,0,300.0
T0000121,C00873,2022-09-15,Chair,private,Cash,1,1500,1,1350.0
T0000122,C00745,2021-10-17,Toothpaste,third_party,Cash,2,80,1,160.0
T0000123,C00373,2024-07-28,Rice,private,Card,2,60,0,120.0
T0000124,C00574,2023-10-13,Earphones,private,Card,1,600,1,600.0
T0000125,C00229,2022-07-15,Snacks,third_party,Cash,2,50,1,100.0
T0000126,C01659,2023-12-24,Oil,third_party,UPI/Wallet,1,200,1,200.0
T0000127,C00566,2023-11-18,Soap,third_party,Cash,1,40,0,40.0
T0000128,C01233,2023-07-04,Snacks,private,UPI/Wallet,15,50,0,675.0
T0000129,C00913,2023-05-17,Snacks,private,Card,1,50,1,50.0
T0000130,C01559,2023-06-02,Soap,third_party,Cash,1,40,0,40.0
T0000131,C01458,2024-03-29,Toothpaste,third_party,UPI/Wallet,3,80,1,240.0
T0000132,C00919,2024-01-16,Snacks,third_party,Card,1,50,0,45.0
T0000133,C00562,2021-08-01,Shampoo,private,Cash,15,120,0,1800.0
T0000134,C00815,2024-03-08,Chair,third_party,Cash,5,1500,0,7500.0
T0000135,C01044,2024-05-26,C-Type Cable,third_party,UPI/Wallet,1,300,1,300.0
T0000136,C00008,2021-11-11,Shampoo,third_party,Cash,1,120,1,120.0
T0000137,C01476,2022-07-29,Laptop Case,private,Card,5,800,1,4000.0
T0000138,C00351,2024-06-16,Soap,private,Cash,1,40,0,40.0
T0000139,C00569,2022-11-11,Shampoo,private,UPI/Wallet,3,120,0,360.0
T0000140,C00431,2023-02-23,Laptop Case,private,UPI/Wallet,2,800,1,1600.0
T0000141,C01939,2021-01-19,Laptop Case,private,UPI/Wallet,1,800,1,800.0
T0000142,C00118,2023-01-21,Rice,third_party,Card,1,60,0,60.0
T0000143,C00033,2022-05-23,Laptop Case,third_party,UPI/Wallet,5,800,0,4000.0
T0000144,C01410,2022-08-12,C-Type Cable,third_party,UPI/Wallet,1,300,0,300.0
T0000145,C00452,2022-12-27,Oil,private,Card,1,200,0,200.0
T0000146,C01495,2024-01-09,C-Type Cable,third_party,Cash,10,300,1,2700.0
T0000147,C00379,2023-08-06,Shampoo,private,UPI/Wallet,1,120,0,120.0
T0000148,C00044,2023-10-21,Toothpaste,private,Card,1,80,0,72.0
T0000149,C00148,2021-07-07,C-Type Cable,private,Card,10,300,0,3000.0
T0000150,C00282,2023-07-16,Rice,third_party,Cash,1,60,0,60.0
T0000151,C01564,2023-04-17,Rice,private,Card,3,60,0,180.0
T0000152,C01229,2023-09-06,Rice,third_party,Cash,1,60,1,60.0
T0000153,C00175,2024-03-10,Soap,private,Card,3,40,0,120.0
T0000154,C00981,2024-08-07,Shampoo,private,Card,1,120,0,108.0
T0000155,C00092,2023-12-10,Snacks,third_party,Card,1,50,0,45.0
T0000156,C00460,2023-11-08,Rice,private,Card,1,60,1,60.0
T0000157,C01801,2023-03-18,C-Type Cable,third_party,Cash,2,300,1,540.0
T0000158,C00226,2024-06-11,Soap,private,Card,15,40,0,600.0
T0000159,C00243,2023-03-31,Oil,third_party,Cash,10,200,0,1800.0
T0000160,C01087,2024-04-29,Oil,third_party,Cash,2,200,1,400.0
T0000161,C00588,2024-01-29,Oil,third_party,Card,1,200,1,200.0
T0000162,C01661,2023-10-23,Snacks,third_party,Cash,5,50,0,250.0
T0000163,C00800,2024-03-04,Chair,third_party,Card,3,1500,0,4050.0
T0000164,C00876,2023-10-27,Toothpaste,private,Cash,1,80,0,80.0
T0000165,C00723,2024-03-23,Oil,third_party,Card,1,200,1,180.0
T0000166,C01934,2024-08-14,Soap,third_party,UPI/Wallet,1,40,1,40.0
T0000167,C01683,2023-12-01,Soap,third_party,Card,1,40,0,40.0
T0000168,C00482,2022-08-20,Oil,private,Cash,15,200,1,3000.0
T0000169,C01962,2021-02-08,Shampoo,third_party,Card,1,120,1,120.0
T0000170,C01776,2023-05-10,Shampoo,private,UPI/Wallet,1,120,1,120.0
T0000171,C01696,2021-03-31,Soap,private,UPI/Wallet,1,40,0,40.0
T0000172,C00054,2024-05-19,C-Type Cable,third_party,UPI/Wallet,2,300,0,600.0
T0000173,C01217,2023-10-26,Shampoo,private,Cash,1,120,0,108.0
T0000174,C01166,2023-09-29,C-Type Cable,private,UPI/Wallet,1,300,0,300.0
T0000175,C01431,2022-11-28,Toothpaste,third_party,Card,2,80,0,160.0
T0000176,C00320,2024-07-27,Rice,third_party,Cash,1,60,0,54.0
T0000177,C01706,2024-05-28,C-Type Cable,third_party,UPI/Wallet,5,300,1,1500.0
T0000178,C01028,2021-01-09,Toothpaste,third_party,Cash,1,80,1,80.0
T0000179,C01069,2023-06-10,C-Type Cable,third_party,Cash,1,300,1,300.0
T0000180,C00449,2023-06-24,C-Type Cable,private,UPI/Wallet,2,300,0,600.0
T0000181,C00960,2023-11-22,Chair,private,Card,2,1500,0,2700.0
T0000182,C00761,2024-02-04,C-Type Cable,private,Cash,1,300,1,300.0
T0000183,C01734,2021-04-25,Oil,private,UPI/Wallet,1,200,0,180.0
T0000184,C01223,2024-04-27,Rice,third_party,UPI/Wallet,1,60,0,60.0
T0000185,C00067,2022-09-10,Soap,private,UPI/Wallet,15,40,0,600.0
T0000186,C01619,2023-12-03,Chair,private,Card,1,1500,0,1500.0
T0000187,C01540,2023-02-28,Toothpaste,third_party,Card,1,80,1,80.0
T0000188,C01995,2024-05-23,Shampoo,third_party,Card,1,120,0,120.0
T0000189,C01588,2024-03-04,Shampoo,private,Card,3,120,0,360.0
T0000190,C00311,2021-09-21,Chair,private,UPI/Wallet,2,1500,0,3000.0
T0000191,C01654,2021-07-25,Shampoo,third_party,UPI/Wallet,1,120,1,120.0
T0000192,C00269,2024-04-05,Oil,private,Card,2,200,0,400.0
T0000193,C01586,2024-06-27,C-Type Cable,private,UPI/Wallet,15,300,0,4500.0
T0000194,C01162,2023-02-27,Chair,private,Card,1,1500,0,1500.0
T0000195,C00932,2022-08-27,Oil,private,Cash,1,200,1,200.0
T0000196,C00724,2023-10-22,Snacks,private,Card,2,50,1,100.0
T0000197,C00525,2024-02-11,Chair,third_party,Cash,1,1500,1,1350.0
T0000198,C01760,2021-03-08,Toothpaste,third_party,UPI/Wallet,5,80,0,400.0
T0000199,C01050,2023-03-27,Earphones,third_party,UPI/Wallet,1,600,1,600.0
T0000200,C00539,2022-09-09,Rice,third_party,UPI/Wallet,2,60,0,120.0
T0000201,C01149,2022-09-18,Rice,private,Card,1,60,0,60.0
T0000202,C01749,2023-06-06,Snacks,private,UPI/Wallet,5,50,0,250.0
T0000203,C00960,2022-07-09,Laptop Case,third_party,Cash,1,800,0,800.0
T0000204,C01879,2024-06-10,C-Type Cable,third_party,Card,1,300,0,300.0
T0000205,C01238,2021-11-02,Chair,private,Cash,2,1500,1,3000.0
T0000206,C01117,2022-02-28,Shampoo,third_party,Cash,1,120,1,120.0
T0000207,C01232,2022-01-24,C-Type Cable,private,Card,3,300,1,900.0
T0000208,C00434,2024-07-01,Rice,third_party,Card,2,60,1,120.0
T0000209,C00172,2023-07-13,Shampoo,private,Card,1,120,1,120.0
T0000210,C01075,2024-01-23,Soap,third_party,Cash,1,40,0,40.0
T0000211,C00878,2023-09-03,Oil,third_party,Cash,1,200,1,200.0
T0000212,C00987,2024-03-03,Chair,third_party,UPI/Wallet,3,1500,1,4500.0
T0000213,C01420,2022-10-09,Earphones,third_party,UPI/Wallet,1,600,0,540.0
T0000214,C01368,2023-05-31,Earphones,third_party,UPI/Wallet,1,600,1,540.0
T0000215,C01837,2021-05-31,Chair,third_party,Card,1,1500,0,1500.0
T0000216,C01381,2024-08-28,C-Type Cable,private,Card,2,300,0,600.0
T0000217,C01309,2024-05-16,Earphones,private,Cash,1,600,1,600.0
T0000218,C01586,2024-05-25,Shampoo,third_party,Cash,1,120,0,120.0
T0000219,C01182,2023-06-03,Rice,third_party,Card,1,60,1,60.0
T0000220,C01778,2021-10-03,Snacks,third_party,Card,2,50,1,100.0
T0000221,C00722,2023-12-31,Laptop Case,third_party,Card,15,800,0,12000.0
T0000222,C00940,2024-03-23,C-Type Cable,third_party,Cash,1,300,1,300.0
T0000223,C01731,2020-12-09,C-Type Cable,third_party,Cash,2,300,0,600.0
T0000224,C00213,2022-09-05,Snacks,third_party,Card,2,50,0,100.0
T0000225,C01540,2023-10-18,Earphones,third_party,Card,1,600,0,600.0
T0000226,C01745,2023-03-14,C-Type Cable,private,UPI/Wallet,3,300,1,810.0
T0000227,C01754,2022-10-03,Chair,third_party,Card,1,1500,1,1500.0
T0000228,C01321,2023-06-18,C-Type Cable,private,Cash,1,300,1,300.0
T0000229,C01349,2024-01-26,Toothpaste,private,Card,10,80,0,720.0
T0000230,C01862,2024-02-06,C-Type Cable,private,Card,1,300,1,300.0
T0000231,C01965,2024-04-30,Earphones,third_party,Card,1,600,0,600.0
T0000232,C00806,2022-06-26,Rice,third_party,Cash,1,60,1,60.0
T0000233,C00356,2024-07-08,C-Type Cable,third_party,Card,1,300,0,270.0
T0000234,C01641,2023-06-03,Shampoo,third_party,Card,2,120,1,240.0
T0000235,C00326,2023-11-20,Oil,private,Card,1,200,0,200.0
T0000236,C01216,2024-08-13,Shampoo,private,Cash,2,120,1,216.0
T0000237,C01504,2024-04-16,Shampoo,third_party,Card,2,120,0,240.0
T0000238,C01839,2023-10-07,Soap,private,Cash,1,40,1,40.0
T0000239,C01351,2024-05-03,Rice,private,UPI/Wallet,10,60,0,600.0
T0000240,C01187,2022-11-01,Snacks,private,Cash,10,50,0,450.0
T0000241,C00537,2024-01-20,Shampoo,private,Card,1,120,0,120.0
T0000242,C01006,2022-08-02,Rice,third_party,UPI/Wallet,1,60,0,60.0
T0000243,C00860,2024-04-23,C-Type Cable,third_party,Card,2,300,0,540.0
T0000244,C00021,2023-05-09,Shampoo,third_party,Cash,2,120,0,240.0
T0000245,C00711,2022-02-12,Chair,third_party,Cash,1,1500,0,1500.0
T0000246,C00522,2023-12-09,Snacks,private,Cash,1,50,0,50.0
T0000247,C00748,2022-05-06,Snacks,third_party,Cash,1,50,0,45.0
T0000248,C01417,2024-04-29,Shampoo,private,Cash,1,120,1,120.0
T0000249,C01336,2021-09-15,Toothpaste,third_party,Card,3,80,1,240.0
T0000250,C00513,2024-03-21,Shampoo,private,UPI/Wallet,3,120,1,360.0
T0000251,C00211,2023-08-18,Earphones,third_party,Cash,1,600,0,600.0
T0000252,C01000,2022-11-20,C-Type Cable,third_party,UPI/Wallet,1,300,1,300.0
T0000253,C01276,2023-04-25,Snacks,third_party,UPI/Wallet,1,50,1,50.0
T0000254,C01296,2024-08-14,Snacks,third_party,UPI/Wallet,5,50,1,250.0
T0000255,C00602,2021-07-04,Earphones,third_party,UPI/Wallet,2,600,1,1200.0
T0000256,C00235,2024-06-17,Shampoo,third_party,Cash,1,120,1,120.0
T0000257,C00441,2024-01-06,Oil,third_party,Cash,3,200,0,600.0
T0000258,C00023,2022-12-29,Oil,private,Card,1,200,0,200.0
T0000259,C00790,2024-05-02,Toothpaste,third_party,Cash,1,80,1,80.0
T0000260,C01938,2024-08-22,Snacks,third_party,UPI/Wallet,2,50,1,100.0
T0000261,C00656,2023-09-24,Soap,private,Card,3,40,0,120.0
T0000262,C00863,2024-01-28,Snacks,private,Card,1,50,1,50.0
T0000263,C00044,2024-01-17,Toothpaste,private,UPI/Wallet,3,80,0,240.0
T0000264,C00583,2021-05-21,Shampoo,third_party,UPI/Wallet,1,120,0,120.0
T0000265,C00034,2023-11-27,Snacks,third_party,Card,3,50,1,150.0
T0000266,C01544,2024-07-27,Oil,third_party,Card,1,200,1,200.0
T0000267,C00806,2023-02-04,Toothpaste,third_party,UPI/Wallet,1,80,0,80.0
T0000268,C01921,2024-04-04,Earphones,private,Cash,1,600,0,540.0
T0000269,C00662,2020-07-24,C-Type Cable,private,UPI/Wallet,1,300,1,300.0
T0000270,C01101,2023-10-30,Rice,third_party,Card,5,60,0,270.0
T0000271,C01940,2024-05-30,Toothpaste,private,UPI/Wallet,1,80,1,80.0
T0000272,C00349,2021-12-25,Shampoo,third_party,Card,1,120,0,120.0
T0000273,C01819,2024-01-18,C-Type Cable,third_party,UPI/Wallet,2,300,0,600.0
T0000274,C01355,2024-05-29,Chair,third_party,UPI/Wallet,1,1500,1,1500.0
T0000275,C00541,2024-04-20,Toothpaste,third_party,Cash,1,80,0,80.0
T0000276,C00154,2023-01-05,Chair,private,Cash,1,1500,1,1500.0
T0000277,C00385,2023-10-16,Chair,private,UPI/Wallet,1,1500,1,1500.0
T0000278,C00639,2023-12-09,Chair,third_party,Cash,3,1500,0,4500.0
T0000279,C00745,2024-07-25,C-Type Cable,third_party,UPI/Wallet,5,300,0,1500.0
T0000280,C00385,2023-12-01,Snacks,private,Card,1,50,0,45.0
T0000281,C01795,2023-05-30,Snacks,third_party,Card,1,50,0,50.0
T0000282,C00976,2023-04-07,Laptop Case,third_party,UPI/Wallet,1,800,0,800.0
T0000283,C00435,2022-06-02,Shampoo,third_party,Card,1,120,0,120.0
T0000284,C00758,2022-07-30,Snacks,private,Card,1,50,0,50.0
T0000285,C00825,2024-08-12,Shampoo,third_party,Card,1,120,1,108.0
T0000286,C00103,2024-08-14,Soap,third_party,Cash,1,40,0,40.0
T0000287,C00489,2024-06-15,Snacks,third_party,UPI/Wallet,1,50,1,50.0
T0000288,C00208,2023-11-14,Soap,third_party,Card,5,40,1,200.0
T0000289,C01610,2022-12-08,Soap,private,UPI/Wallet,1,40,1,40.0
T0000290,C00194,2023-08-16,Shampoo,third_party,Card,2,120,1,240.0
T0000291,C01409,2024-05-18,Soap,private,Cash,2,40,0,80.0
T0000292,C00933,2022-07-30,Shampoo,third_party,Card,2,120,1,216.0
T0000293,C01996,2024-07-11,Toothpaste,third_party,Cash,1,80,1,80.0
T0000294,C01195,2022-02-26,Rice,third_party,Cash,1,60,0,60.0
T0000295,C01162,2023-04-08,Toothpaste,third_party,Cash,1,80,0,80.0
T0000296,C00205,2024-05-19,Toothpaste,third_party,Card,1,80,1,80.0
T0000297,C00528,2024-01-20,Chair,private,Card,1,1500,1,1500.0
T0000298,C01826,2023-02-04,Laptop Case,third_party,UPI/Wallet,5,800,1,3600.0
T0000299,C01405,2021-12-02,Laptop Case,third_party,Card,1,800,0,800.0
T0000300,C00291,2024-07-23,Oil,third_party,UPI/Wallet,1,200,1,200.0
T0000301,C01525,2023-09-17,Snacks,private,UPI/Wallet,15,50,0,750.0
T0000302,C01797,2023-12-13,Laptop Case,third_party,UPI/Wallet,1,800,0,800.0
T0000303,C01391,2023-05-11,Oil,third_party,Card,1,200,1,200.0
T0000304,C00085,2021-03-01,Earphones,third_party,UPI/Wallet,1,600,0,600.0
T0000305,C00932,2022-12-21,Earphones,third_party,Card,3,600,0,1800.0
T0000306,C01022,2023-09-28,Shampoo,third_party,Card,1,120,0,120.0
T0000307,C00591,2024-06-07,Snacks,third_party,Cash,1,50,0,50.0
T0000308,C01215,2023-04-15,Snacks,private,Card,1,50,1,50.0
T0000309,C00002,2022-02-28,Rice,private,Card,1,60,0,60.0
T0000310,C01461,2023-05-22,Toothpaste,private,Card,2,80,0,160.0
T0000311,C00066,2023-07-26,Chair,third_party,UPI/Wallet,1,1500,1,1500.0
T0000312,C01981,2023-03-08,Snacks,third_party,UPI/Wallet,10,50,1,450.0
T0000313,C00893,2022-04-16,Oil,third_party,Cash,1,200,1,180.0
T0000314,C01136,2021-04-28,Soap,private,UPI/Wallet,1,40,1,40.0
T0000315,C00770,2022-08-14,C-Type Cable,private,UPI/Wallet,1,300,1,300.0
T0000316,C01404,2023-10-16,Oil,third_party,Card,1,200,1,200.0
T0000317,C01869,2023-08-07,Laptop Case,private,Cash,3,800,0,2400.0
T0000318,C00620,2020-11-24,Soap,third_party,UPI/Wallet,1,40,1,36.0
T0000319,C01731,2023-04-08,C-Type Cable,private,Card,2,300,1,600.0
T0000320,C00174,2023-04-16,Rice,private,Cash,15,60,1,900.0
T0000321,C01684,2021-11-13,Toothpaste,third_party,Cash,2,80,0,160.0
T0000322,C01382,2020-10-04,Laptop Case,third_party,Cash,1,800,0,800.0
T0000323,C01981,2022-05-06,Chair,private,UPI/Wallet,5,1500,0,7500.0
T0000324,C00637,2023-06-11,Rice,third_party,Cash,2,60,0,108.0
T0000325,C00314,2022-08-17,Earphones,third_party,Cash,1,600,0,540.0
T0000326,C00051,2023-08-23,Laptop Case,third_party,Cash,1,800,1,800.0
T0000327,C00377,2022-09-04,Soap,third_party,UPI/Wallet,1,40,1,40.0
T0000328,C01264,2023-10-28,Snacks,third_party,Cash,2,50,0,100.0
T0000329,C01347,2023-02-22,Soap,private,UPI/Wallet,2,40,0,80.0
T0000330,C00594,2023-01-24,Toothpaste,third_party,Card,15,80,1,1200.0
T0000331,C00802,2022-02-06,C-Type Cable,third_party,Card,1,300,1,270.0
T0000332,C00581,2023-10-04,Chair,private,UPI/Wallet,1,1500,1,1350.0
T0000333,C01333,2021-01-20,Earphones,third_party,Card,10,600,0,6000.0
T0000334,C01481,2021-06-09,Chair,private,Card,15,1500,0,22500.0
T0000335,C01447,2023-12-21,Laptop Case,third_party,UPI/Wallet,1,800,0,800.0
T0000336,C01473,2023-01-28,Earphones,private,Cash,2,600,1,1200.0
T0000337,C01349,2024-08-21,Toothpaste,third_party,UPI/Wallet,1,80,1,80.0
T0000338,C00967,2022-06-18,Earphones,third_party,UPI/Wallet,1,600,1,540.0
T0000339,C00664,2024-07-12,Earphones,third_party,UPI/Wallet,1,600,1,540.0
T0000340,C00061,2024-07-29,Shampoo,private,Card,2,120,1,240.0
T0000341,C00475,2024-07-13,Soap,private,UPI/Wallet,5,40,1,200.0
T0000342,C00861,2024-05-23,Snacks,private,Cash,1,50,0,50.0
T0000343,C00767,2021-10-21,Earphones,third_party,Cash,1,600,1,540.0
T0000344,C00921,2021-11-24,C-Type Cable,private,UPI/Wallet,2,300,0,540.0
T0000345,C01006,2022-06-19,Chair,third_party,UPI/Wallet,1,1500,0,1500.0
